"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Apr-2023","1","156.64","0.00","5863.944","-","0.000"
"USEP","01-Apr-2023","2","203.80","0.00","5774.836","-","0.000"
"USEP","01-Apr-2023","3","167.31","0.00","5689.909","-","0.000"
"USEP","01-Apr-2023","4","177.07","0.00","5652.912","-","0.000"
"USEP","01-Apr-2023","5","156.56","0.00","5592.661","-","0.000"
"USEP","01-Apr-2023","6","126.63","0.00","5530.645","-","0.000"
"USEP","01-Apr-2023","7","127.22","0.00","5521.267","-","0.000"
"USEP","01-Apr-2023","8","126.63","0.00","5522.937","-","0.000"
"USEP","01-Apr-2023","9","126.53","0.00","5498.748","-","0.000"
"USEP","01-Apr-2023","10","123.16","0.00","5472.869","-","0.000"
"USEP","01-Apr-2023","11","126.63","0.00","5501.178","-","0.000"
"USEP","01-Apr-2023","12","156.54","0.00","5578.248","-","0.000"
"USEP","01-Apr-2023","13","132.88","0.00","5671.495","-","0.000"
"USEP","01-Apr-2023","14","132.88","0.00","5738.819","-","0.000"
"USEP","01-Apr-2023","15","132.90","0.00","5830.187","-","0.000"
"USEP","01-Apr-2023","16","147.46","0.00","5946.903","-","0.000"
"USEP","01-Apr-2023","17","177.31","0.00","6099.616","-","0.000"
"USEP","01-Apr-2023","18","171.58","0.00","6185.771","-","0.000"
"USEP","01-Apr-2023","19","126.70","0.00","6221.391","-","0.000"
"USEP","01-Apr-2023","20","125.73","0.00","6214.398","-","0.000"
"USEP","01-Apr-2023","21","124.97","0.00","6220.536","-","0.000"
"USEP","01-Apr-2023","22","126.71","0.00","6271.399","-","0.000"
"USEP","01-Apr-2023","23","127.12","0.00","6353.846","-","0.000"
"USEP","01-Apr-2023","24","123.96","0.00","6314.529","-","0.000"
"USEP","01-Apr-2023","25","121.96","0.00","6177.387","-","0.000"
"USEP","01-Apr-2023","26","122.26","0.00","6211.784","-","0.000"
"USEP","01-Apr-2023","27","122.38","0.00","6269.635","-","0.000"
"USEP","01-Apr-2023","28","132.91","0.00","6262.761","-","0.000"
"USEP","01-Apr-2023","29","127.09","0.00","6223.717","-","0.000"
"USEP","01-Apr-2023","30","122.17","0.00","6165.946","-","0.000"
"USEP","01-Apr-2023","31","122.16","0.00","6183.023","-","0.000"
"USEP","01-Apr-2023","32","122.16","0.00","6183.813","-","0.000"
"USEP","01-Apr-2023","33","126.95","0.00","6193.902","-","0.000"
"USEP","01-Apr-2023","34","132.90","0.00","6252.384","-","0.000"
"USEP","01-Apr-2023","35","133.04","0.00","6278.854","-","0.000"
"USEP","01-Apr-2023","36","133.03","0.00","6309.683","-","0.000"
"USEP","01-Apr-2023","37","177.23","0.00","6358.867","-","0.000"
"USEP","01-Apr-2023","38","193.72","0.00","6427.060","-","0.000"
"USEP","01-Apr-2023","39","177.34","0.00","6434.614","-","0.000"
"USEP","01-Apr-2023","40","177.34","0.00","6430.608","-","0.000"
"USEP","01-Apr-2023","41","133.02","0.00","6381.480","-","0.000"
"USEP","01-Apr-2023","42","132.92","0.00","6345.080","-","0.000"
"USEP","01-Apr-2023","43","132.93","0.00","6297.383","-","0.000"
"USEP","01-Apr-2023","44","126.92","0.00","6209.046","-","0.000"
"USEP","01-Apr-2023","45","125.76","0.00","6111.713","-","0.000"
"USEP","01-Apr-2023","46","121.99","0.00","6015.191","-","0.000"
"USEP","01-Apr-2023","47","121.64","0.00","5948.553","-","0.000"
"USEP","01-Apr-2023","48","120.56","0.00","5883.019","-","0.000"
"USEP","02-Apr-2023","1","122.56","0.00","5834.517","-","0.000"
"USEP","02-Apr-2023","2","121.96","0.00","5777.183","-","0.000"
"USEP","02-Apr-2023","3","115.63","0.00","5727.716","-","0.000"
"USEP","02-Apr-2023","4","104.67","0.00","5632.854","-","0.000"
"USEP","02-Apr-2023","5","99.53","0.00","5537.077","-","0.000"
"USEP","02-Apr-2023","6","89.46","0.00","5470.529","-","0.000"
"USEP","02-Apr-2023","7","81.50","0.00","5435.888","-","0.000"
"USEP","02-Apr-2023","8","87.64","0.00","5414.636","-","0.000"
"USEP","02-Apr-2023","9","89.19","0.00","5383.698","-","0.000"
"USEP","02-Apr-2023","10","89.17","0.00","5380.731","-","0.000"
"USEP","02-Apr-2023","11","89.19","0.00","5382.883","-","0.000"
"USEP","02-Apr-2023","12","90.03","0.00","5397.862","-","0.000"
"USEP","02-Apr-2023","13","93.57","0.00","5430.818","-","0.000"
"USEP","02-Apr-2023","14","90.07","0.00","5451.593","-","0.000"
"USEP","02-Apr-2023","15","99.52","0.00","5518.474","-","0.000"
"USEP","02-Apr-2023","16","103.62","0.00","5594.978","-","0.000"
"USEP","02-Apr-2023","17","115.48","0.00","5683.896","-","0.000"
"USEP","02-Apr-2023","18","110.52","0.00","5707.816","-","0.000"
"USEP","02-Apr-2023","19","110.52","0.00","5780.458","-","0.000"
"USEP","02-Apr-2023","20","115.54","0.00","5885.111","-","0.000"
"USEP","02-Apr-2023","21","115.34","0.00","5951.888","-","0.000"
"USEP","02-Apr-2023","22","102.38","0.00","5886.334","-","0.000"
"USEP","02-Apr-2023","23","96.55","0.00","5832.121","-","0.000"
"USEP","02-Apr-2023","24","109.42","0.00","5848.592","-","0.000"
"USEP","02-Apr-2023","25","97.25","0.00","5858.621","-","0.000"
"USEP","02-Apr-2023","26","97.20","0.00","5809.652","-","0.000"
"USEP","02-Apr-2023","27","97.07","0.00","5826.699","-","0.000"
"USEP","02-Apr-2023","28","108.36","0.00","5923.842","-","0.000"
"USEP","02-Apr-2023","29","108.44","0.00","6011.006","-","0.000"
"USEP","02-Apr-2023","30","109.56","0.00","6025.161","-","0.000"
"USEP","02-Apr-2023","31","110.08","0.00","6053.033","-","0.000"
"USEP","02-Apr-2023","32","115.59","0.00","6126.261","-","0.000"
"USEP","02-Apr-2023","33","115.58","0.00","6183.694","-","0.000"
"USEP","02-Apr-2023","34","115.60","0.00","6175.767","-","0.000"
"USEP","02-Apr-2023","35","115.52","0.00","6126.991","-","0.000"
"USEP","02-Apr-2023","36","115.58","0.00","6188.704","-","0.000"
"USEP","02-Apr-2023","37","115.71","0.00","6279.878","-","0.000"
"USEP","02-Apr-2023","38","126.72","0.00","6369.284","-","0.000"
"USEP","02-Apr-2023","39","126.73","0.00","6403.870","-","0.000"
"USEP","02-Apr-2023","40","126.73","0.00","6432.686","-","0.000"
"USEP","02-Apr-2023","41","127.73","0.00","6447.989","-","0.000"
"USEP","02-Apr-2023","42","128.75","0.00","6449.042","-","0.000"
"USEP","02-Apr-2023","43","127.73","0.00","6411.086","-","0.000"
"USEP","02-Apr-2023","44","126.51","0.00","6307.139","-","0.000"
"USEP","02-Apr-2023","45","115.61","0.00","6193.664","-","0.000"
"USEP","02-Apr-2023","46","108.39","0.00","6063.763","-","0.000"
"USEP","02-Apr-2023","47","108.37","0.00","6000.067","-","0.000"
"USEP","02-Apr-2023","48","108.37","0.00","5928.489","-","0.000"
"USEP","03-Apr-2023","1","122.24","0.00","5862.766","-","0.000"
"USEP","03-Apr-2023","2","107.72","0.00","5729.943","-","0.000"
"USEP","03-Apr-2023","3","100.91","0.00","5592.184","-","0.000"
"USEP","03-Apr-2023","4","89.47","0.00","5533.906","-","0.000"
"USEP","03-Apr-2023","5","89.25","0.00","5502.938","-","0.000"
"USEP","03-Apr-2023","6","84.38","0.00","5450.872","-","0.000"
"USEP","03-Apr-2023","7","82.47","0.00","5427.220","-","0.000"
"USEP","03-Apr-2023","8","81.62","0.00","5403.349","-","0.000"
"USEP","03-Apr-2023","9","78.17","0.00","5377.774","-","0.000"
"USEP","03-Apr-2023","10","89.23","0.00","5402.996","-","0.000"
"USEP","03-Apr-2023","11","89.26","0.00","5482.337","-","0.000"
"USEP","03-Apr-2023","12","104.65","0.00","5642.093","-","0.000"
"USEP","03-Apr-2023","13","121.84","0.00","5823.523","-","0.000"
"USEP","03-Apr-2023","14","122.55","0.00","5980.779","-","0.000"
"USEP","03-Apr-2023","15","124.84","0.00","6137.180","-","0.000"
"USEP","03-Apr-2023","16","133.37","0.00","6323.550","-","0.000"
"USEP","03-Apr-2023","17","133.57","0.00","6509.413","-","0.000"
"USEP","03-Apr-2023","18","201.43","0.00","6661.564","-","0.000"
"USEP","03-Apr-2023","19","201.43","0.00","6757.982","-","0.000"
"USEP","03-Apr-2023","20","201.75","0.00","6806.847","-","0.000"
"USEP","03-Apr-2023","21","203.84","0.00","6829.719","-","0.000"
"USEP","03-Apr-2023","22","203.82","0.00","6831.638","-","0.000"
"USEP","03-Apr-2023","23","168.18","0.00","6806.455","-","0.000"
"USEP","03-Apr-2023","24","140.45","0.00","6797.618","-","0.000"
"USEP","03-Apr-2023","25","123.54","0.00","6789.273","-","0.000"
"USEP","03-Apr-2023","26","123.44","0.00","6807.344","-","0.000"
"USEP","03-Apr-2023","27","123.37","0.00","6838.869","-","0.000"
"USEP","03-Apr-2023","28","123.45","0.00","6882.516","-","0.000"
"USEP","03-Apr-2023","29","135.73","0.00","6933.210","-","0.000"
"USEP","03-Apr-2023","30","158.83","0.00","6936.559","-","0.000"
"USEP","03-Apr-2023","31","251.20","0.00","6926.485","-","0.000"
"USEP","03-Apr-2023","32","203.83","0.00","6852.179","-","0.000"
"USEP","03-Apr-2023","33","201.56","0.00","6824.541","-","0.000"
"USEP","03-Apr-2023","34","323.24","0.00","6837.130","-","0.000"
"USEP","03-Apr-2023","35","312.28","0.00","6818.437","-","0.000"
"USEP","03-Apr-2023","36","251.93","0.00","6720.832","-","0.000"
"USEP","03-Apr-2023","37","201.52","0.00","6653.801","-","0.000"
"USEP","03-Apr-2023","38","152.40","0.00","6630.487","-","0.000"
"USEP","03-Apr-2023","39","164.23","0.00","6622.823","-","0.000"
"USEP","03-Apr-2023","40","201.54","0.00","6653.011","-","0.000"
"USEP","03-Apr-2023","41","201.54","0.00","6661.405","-","0.000"
"USEP","03-Apr-2023","42","201.44","0.00","6611.024","-","0.000"
"USEP","03-Apr-2023","43","249.44","0.00","6523.607","-","0.000"
"USEP","03-Apr-2023","44","251.31","0.00","6395.938","-","0.000"
"USEP","03-Apr-2023","45","261.91","0.00","6256.604","-","0.000"
"USEP","03-Apr-2023","46","201.62","0.00","6118.214","-","0.000"
"USEP","03-Apr-2023","47","123.79","0.00","5980.073","-","0.000"
"USEP","03-Apr-2023","48","123.09","0.00","5859.779","-","0.000"
"USEP","04-Apr-2023","1","119.80","0.00","5772.407","-","0.000"
"USEP","04-Apr-2023","2","115.27","0.00","5662.291","-","0.000"
"USEP","04-Apr-2023","3","108.72","0.00","5562.856","-","0.000"
"USEP","04-Apr-2023","4","107.67","0.00","5499.230","-","0.000"
