"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Aug-2023","1","122.76","0.00","6044.708","-","0.000"
"USEP","01-Aug-2023","2","130.15","0.00","5946.496","-","0.000"
"USEP","01-Aug-2023","3","131.47","0.00","5889.584","-","0.000"
"USEP","01-Aug-2023","4","131.59","0.00","5829.069","-","0.000"
"USEP","01-Aug-2023","5","131.46","0.00","5785.870","-","0.000"
"USEP","01-Aug-2023","6","131.44","0.00","5749.758","-","0.000"
"USEP","01-Aug-2023","7","131.44","0.00","5712.578","-","0.000"
"USEP","01-Aug-2023","8","126.69","0.00","5665.865","-","0.000"
"USEP","01-Aug-2023","9","127.39","0.00","5668.215","-","0.000"
"USEP","01-Aug-2023","10","131.44","0.00","5705.992","-","0.000"
"USEP","01-Aug-2023","11","131.57","0.00","5799.682","-","0.000"
"USEP","01-Aug-2023","12","134.77","0.00","5946.933","-","0.000"
"USEP","01-Aug-2023","13","135.00","0.00","6130.863","-","0.000"
"USEP","01-Aug-2023","14","134.88","0.00","6275.197","-","0.000"
"USEP","01-Aug-2023","15","132.24","0.00","6468.713","-","0.000"
"USEP","01-Aug-2023","16","167.35","0.00","6682.473","-","0.000"
"USEP","01-Aug-2023","17","236.07","0.00","6874.032","-","0.000"
"USEP","01-Aug-2023","18","248.16","0.00","6975.688","-","0.000"
"USEP","01-Aug-2023","19","170.74","0.00","7017.903","-","0.000"
"USEP","01-Aug-2023","20","170.15","0.00","7044.334","-","0.000"
"USEP","01-Aug-2023","21","185.25","0.00","7049.334","-","0.000"
"USEP","01-Aug-2023","22","170.19","0.00","6981.493","-","0.000"
"USEP","01-Aug-2023","23","135.01","0.00","6902.848","-","0.000"
"USEP","01-Aug-2023","24","160.17","0.00","6893.753","-","0.000"
"USEP","01-Aug-2023","25","137.97","0.00","6851.384","-","0.000"
"USEP","01-Aug-2023","26","153.34","0.00","6893.599","-","0.000"
"USEP","01-Aug-2023","27","135.00","0.00","6897.783","-","0.000"
"USEP","01-Aug-2023","28","134.68","0.00","6936.067","-","0.000"
"USEP","01-Aug-2023","29","132.28","0.00","6982.194","-","0.000"
"USEP","01-Aug-2023","30","153.37","0.00","7086.614","-","0.000"
"USEP","01-Aug-2023","31","185.04","0.00","7131.542","-","0.000"
"USEP","01-Aug-2023","32","244.19","0.00","7166.054","-","0.000"
"USEP","01-Aug-2023","33","342.26","0.00","7217.663","-","0.000"
"USEP","01-Aug-2023","34","437.44","9.28","7254.531","-","18.000"
"USEP","01-Aug-2023","35","437.52","2.22","7252.500","-","12.000"
"USEP","01-Aug-2023","36","193.48","0.00","7150.130","-","0.000"
"USEP","01-Aug-2023","37","153.38","0.00","7048.046","-","0.000"
"USEP","01-Aug-2023","38","148.22","0.00","7037.858","-","0.000"
"USEP","01-Aug-2023","39","168.80","0.00","7097.662","-","0.000"
"USEP","01-Aug-2023","40","173.72","0.00","7110.609","-","0.000"
"USEP","01-Aug-2023","41","173.93","0.00","7114.923","-","0.000"
"USEP","01-Aug-2023","42","173.90","0.00","7101.553","-","0.000"
"USEP","01-Aug-2023","43","162.48","0.00","7056.615","-","0.000"
"USEP","01-Aug-2023","44","132.34","0.00","6958.313","-","0.000"
"USEP","01-Aug-2023","45","162.27","0.00","6817.955","-","0.000"
"USEP","01-Aug-2023","46","137.92","0.00","6685.420","-","0.000"
"USEP","01-Aug-2023","47","132.29","0.00","6535.684","-","0.000"
"USEP","01-Aug-2023","48","124.89","0.00","6326.745","-","0.000"
"USEP","02-Aug-2023","1","131.88","0.00","6113.796","-","0.000"
"USEP","02-Aug-2023","2","131.60","0.00","5984.223","-","0.000"
"USEP","02-Aug-2023","3","132.79","0.00","5958.011","-","0.000"
"USEP","02-Aug-2023","4","132.44","0.00","5906.756","-","0.000"
"USEP","02-Aug-2023","5","132.17","0.00","5867.766","-","0.000"
"USEP","02-Aug-2023","6","131.77","0.00","5824.850","-","0.000"
"USEP","02-Aug-2023","7","131.78","0.00","5787.262","-","0.000"
"USEP","02-Aug-2023","8","131.74","0.00","5768.376","-","0.000"
"USEP","02-Aug-2023","9","130.52","0.00","5765.135","-","0.000"
"USEP","02-Aug-2023","10","131.77","0.00","5794.533","-","0.000"
"USEP","02-Aug-2023","11","134.35","0.00","5875.981","-","0.000"
"USEP","02-Aug-2023","12","135.21","0.00","6016.717","-","0.000"
"USEP","02-Aug-2023","13","137.75","0.00","6193.301","-","0.000"
"USEP","02-Aug-2023","14","142.13","0.00","6349.240","-","0.000"
"USEP","02-Aug-2023","15","148.03","0.00","6534.700","-","0.000"
"USEP","02-Aug-2023","16","183.85","0.00","6756.437","-","0.000"
"USEP","02-Aug-2023","17","173.80","0.00","6938.995","-","0.000"
"USEP","02-Aug-2023","18","235.52","0.00","7015.712","-","0.000"
