"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Jan-2023","1","158.62","0.00","5539.761","-","0.000"
"USEP","01-Jan-2023","2","147.58","0.00","5443.353","-","0.000"
"USEP","01-Jan-2023","3","126.83","0.00","5384.523","-","0.000"
"USEP","01-Jan-2023","4","144.53","0.00","5367.272","-","0.000"
"USEP","01-Jan-2023","5","144.51","0.00","5331.369","-","0.000"
"USEP","01-Jan-2023","6","126.80","0.00","5289.506","-","0.000"
"USEP","01-Jan-2023","7","108.48","0.00","5232.943","-","0.000"
"USEP","01-Jan-2023","8","106.74","0.00","5196.736","-","0.000"
"USEP","01-Jan-2023","9","106.51","0.00","5173.397","-","0.000"
"USEP","01-Jan-2023","10","106.74","0.00","5180.256","-","0.000"
"USEP","01-Jan-2023","11","109.69","0.00","5213.411","-","0.000"
"USEP","01-Jan-2023","12","123.24","0.00","5258.215","-","0.000"
"USEP","01-Jan-2023","13","123.24","0.00","5324.033","-","0.000"
"USEP","01-Jan-2023","14","123.25","0.00","5358.947","-","0.000"
"USEP","01-Jan-2023","15","126.71","0.00","5383.390","-","0.000"
"USEP","01-Jan-2023","16","144.54","0.00","5457.989","-","0.000"
"USEP","01-Jan-2023","17","156.98","0.00","5548.493","-","0.000"
"USEP","01-Jan-2023","18","157.11","0.00","5605.032","-","0.000"
"USEP","01-Jan-2023","19","177.19","0.00","5658.559","-","0.000"
"USEP","01-Jan-2023","20","158.60","0.00","5727.006","-","0.000"
"USEP","01-Jan-2023","21","157.20","0.00","5768.639","-","0.000"
"USEP","01-Jan-2023","22","157.20","0.00","5775.150","-","0.000"
"USEP","01-Jan-2023","23","151.63","0.00","5773.614","-","0.000"
"USEP","01-Jan-2023","24","130.62","0.00","5734.585","-","0.000"
"USEP","01-Jan-2023","25","126.25","0.00","5701.534","-","0.000"
"USEP","01-Jan-2023","26","117.51","0.00","5634.365","-","0.000"
"USEP","01-Jan-2023","27","117.51","0.00","5612.228","-","0.000"
