"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Mar-2023","1","128.02","0.00","5502.908","-","0.000"
"USEP","01-Mar-2023","2","114.52","0.00","5398.961","-","0.000"
"USEP","01-Mar-2023","3","108.12","0.00","5270.432","-","0.000"
"USEP","01-Mar-2023","4","107.96","0.00","5198.357","-","0.000"
"USEP","01-Mar-2023","5","107.95","0.00","5150.118","-","0.000"
"USEP","01-Mar-2023","6","103.16","0.00","5105.949","-","0.000"
"USEP","01-Mar-2023","7","102.46","0.00","5088.858","-","0.000"
"USEP","01-Mar-2023","8","102.46","0.00","5077.417","-","0.000"
"USEP","01-Mar-2023","9","102.46","0.00","5079.221","-","0.000"
"USEP","01-Mar-2023","10","102.46","0.00","5077.243","-","0.000"
"USEP","01-Mar-2023","11","104.23","0.00","5161.285","-","0.000"
"USEP","01-Mar-2023","12","111.17","0.00","5305.107","-","0.000"
"USEP","01-Mar-2023","13","119.26","0.00","5481.095","-","0.000"
"USEP","01-Mar-2023","14","119.30","0.00","5668.260","-","0.000"
"USEP","01-Mar-2023","15","125.46","0.00","5871.434","-","0.000"
"USEP","01-Mar-2023","16","207.40","0.00","6092.514","-","0.000"
"USEP","01-Mar-2023","17","272.86","0.00","6300.156","-","0.000"
"USEP","01-Mar-2023","18","353.48","0.00","6444.480","-","0.000"
"USEP","01-Mar-2023","19","402.21","0.00","6511.371","-","0.000"
"USEP","01-Mar-2023","20","424.43","0.00","6556.479","-","0.000"
"USEP","01-Mar-2023","21","452.73","0.00","6581.284","-","0.000"
"USEP","01-Mar-2023","22","452.73","0.00","6594.355","-","0.000"
"USEP","01-Mar-2023","23","452.80","0.00","6584.624","-","0.000"
"USEP","01-Mar-2023","24","452.74","0.00","6567.741","-","0.000"
"USEP","01-Mar-2023","25","424.46","0.00","6526.321","-","0.000"
"USEP","01-Mar-2023","26","424.60","0.00","6517.718","-","0.000"
"USEP","01-Mar-2023","27","452.50","0.00","6555.430","-","0.000"
"USEP","01-Mar-2023","28","452.70","0.00","6565.067","-","0.000"
"USEP","01-Mar-2023","29","452.42","0.00","6559.336","-","0.000"
"USEP","01-Mar-2023","30","403.23","0.00","6513.279","-","10.000"
"USEP","01-Mar-2023","31","359.58","4500.00","6470.408","-","10.000"
"USEP","01-Mar-2023","32","359.52","4500.00","6480.288","-","10.000"
"USEP","01-Mar-2023","33","402.73","0.00","6514.721","-","0.000"
"USEP","01-Mar-2023","34","452.31","0.00","6572.422","-","0.000"
"USEP","01-Mar-2023","35","424.24","0.00","6557.965","-","0.000"
"USEP","01-Mar-2023","36","402.15","0.00","6507.832","-","0.000"
"USEP","01-Mar-2023","37","376.74","0.00","6469.623","-","0.000"
"USEP","01-Mar-2023","38","402.16","0.00","6495.785","-","0.000"
"USEP","01-Mar-2023","39","386.17","0.00","6480.135","-","0.000"
"USEP","01-Mar-2023","40","396.00","0.00","6477.068","-","0.000"
"USEP","01-Mar-2023","41","380.62","0.00","6446.329","-","0.000"
"USEP","01-Mar-2023","42","353.70","0.00","6406.554","-","0.000"
"USEP","01-Mar-2023","43","273.23","0.00","6335.498","-","0.000"
"USEP","01-Mar-2023","44","198.19","0.00","6168.217","-","0.000"
"USEP","01-Mar-2023","45","207.13","0.00","6011.722","-","0.000"
"USEP","01-Mar-2023","46","126.33","0.00","5856.931","-","0.000"
"USEP","01-Mar-2023","47","139.73","0.00","5708.691","-","0.000"
"USEP","01-Mar-2023","48","139.68","0.00","5588.407","-","0.000"
"USEP","02-Mar-2023","1","131.91","0.00","5484.569","-","0.000"
"USEP","02-Mar-2023","2","125.40","0.00","5376.442","-","0.000"
