"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-May-2023","1","281.55","0.00","5986.996","-","0.000"
"USEP","01-May-2023","2","221.96","0.00","5891.522","-","0.000"
"USEP","01-May-2023","3","261.62","0.00","5801.734","-","0.000"
"USEP","01-May-2023","4","221.99","0.00","5727.020","-","0.000"
"USEP","01-May-2023","5","203.21","0.00","5690.739","-","0.000"
"USEP","01-May-2023","6","201.17","0.00","5645.443","-","0.000"
"USEP","01-May-2023","7","199.76","0.00","5606.468","-","0.000"
"USEP","01-May-2023","8","150.80","0.00","5549.934","-","0.000"
"USEP","01-May-2023","9","124.80","0.00","5515.333","-","0.000"
"USEP","01-May-2023","10","124.79","0.00","5515.552","-","0.000"
"USEP","01-May-2023","11","123.99","0.00","5501.134","-","0.000"
"USEP","01-May-2023","12","123.93","0.00","5519.642","-","0.000"
"USEP","01-May-2023","13","124.80","0.00","5581.727","-","0.000"
"USEP","01-May-2023","14","124.85","0.00","5631.482","-","0.000"
"USEP","01-May-2023","15","124.79","0.00","5673.066","-","0.000"
"USEP","01-May-2023","16","124.80","0.00","5732.418","-","0.000"
"USEP","01-May-2023","17","126.74","0.00","5789.747","-","0.000"
"USEP","01-May-2023","18","125.93","0.00","5803.444","-","0.000"
"USEP","01-May-2023","19","125.94","0.00","5869.714","-","0.000"
"USEP","01-May-2023","20","117.88","0.00","5963.841","-","0.000"
"USEP","01-May-2023","21","118.23","0.00","6018.079","-","0.000"
"USEP","01-May-2023","22","118.11","0.00","6043.689","-","0.000"
"USEP","01-May-2023","23","118.64","0.00","6015.007","-","0.000"
"USEP","01-May-2023","24","117.05","0.00","5974.124","-","0.000"
"USEP","01-May-2023","25","117.78","0.00","5962.678","-","0.000"
"USEP","01-May-2023","26","118.13","0.00","6006.608","-","0.000"
"USEP","01-May-2023","27","119.12","0.00","6046.800","-","0.000"
"USEP","01-May-2023","28","122.80","0.00","6075.422","-","0.000"
"USEP","01-May-2023","29","125.81","0.00","6160.583","-","0.000"
"USEP","01-May-2023","30","176.34","0.00","6263.621","-","0.000"
"USEP","01-May-2023","31","200.42","0.00","6310.503","-","0.000"
"USEP","01-May-2023","32","201.47","0.00","6352.555","-","0.000"
"USEP","01-May-2023","33","201.61","0.00","6372.559","-","0.000"
"USEP","01-May-2023","34","201.60","0.00","6361.371","-","0.000"
"USEP","01-May-2023","35","202.00","0.00","6430.007","-","0.000"
"USEP","01-May-2023","36","231.17","0.00","6496.212","-","0.000"
"USEP","01-May-2023","37","252.13","0.00","6586.567","-","0.000"
"USEP","01-May-2023","38","281.40","0.00","6687.185","-","0.000"
"USEP","01-May-2023","39","302.25","0.00","6731.681","-","0.000"
"USEP","01-May-2023","40","305.77","0.00","6745.070","-","0.000"
"USEP","01-May-2023","41","333.69","0.00","6770.606","-","0.000"
"USEP","01-May-2023","42","339.28","0.00","6803.607","-","0.000"
"USEP","01-May-2023","43","339.28","0.00","6800.665","-","0.000"
"USEP","01-May-2023","44","331.00","0.00","6740.115","-","0.000"
"USEP","01-May-2023","45","335.95","0.00","6636.908","-","0.000"
"USEP","01-May-2023","46","271.84","0.00","6512.509","-","0.000"
"USEP","01-May-2023","47","231.13","0.00","6381.197","-","0.000"
"USEP","01-May-2023","48","198.89","0.00","6239.770","-","0.000"
"USEP","02-May-2023","1","281.49","0.00","6099.095","-","0.000"
"USEP","02-May-2023","2","230.79","0.00","5958.846","-","0.000"
"USEP","02-May-2023","3","199.70","0.00","5849.670","-","0.000"
"USEP","02-May-2023","4","171.22","0.00","5799.543","-","0.000"
"USEP","02-May-2023","5","167.03","0.00","5767.968","-","0.000"
"USEP","02-May-2023","6","147.38","0.00","5726.553","-","0.000"
"USEP","02-May-2023","7","132.80","0.00","5666.789","-","0.000"
"USEP","02-May-2023","8","128.34","0.00","5638.395","-","0.000"
"USEP","02-May-2023","9","128.34","0.00","5624.310","-","0.000"
"USEP","02-May-2023","10","129.26","0.00","5649.643","-","0.000"
"USEP","02-May-2023","11","130.75","0.00","5702.623","-","0.000"
"USEP","02-May-2023","12","155.16","0.00","5849.566","-","0.000"
"USEP","02-May-2023","13","147.38","0.00","6040.016","-","0.000"
"USEP","02-May-2023","14","201.64","0.00","6206.640","-","0.000"
"USEP","02-May-2023","15","249.49","0.00","6371.113","-","0.000"
"USEP","02-May-2023","16","281.61","0.00","6592.471","-","0.000"
"USEP","02-May-2023","17","308.01","0.00","6795.715","-","0.000"
"USEP","02-May-2023","18","332.87","0.00","6906.953","-","0.000"
"USEP","02-May-2023","19","363.18","0.00","6963.238","-","0.000"
"USEP","02-May-2023","20","373.92","0.00","6999.828","-","0.000"
"USEP","02-May-2023","21","384.16","0.00","7031.442","-","0.000"
"USEP","02-May-2023","22","414.22","0.00","7036.287","-","0.000"
"USEP","02-May-2023","23","384.21","0.00","7032.490","-","0.000"
"USEP","02-May-2023","24","363.44","0.00","6997.566","-","0.000"
"USEP","02-May-2023","25","347.13","0.00","6972.507","-","0.000"
"USEP","02-May-2023","26","392.75","0.00","7038.265","-","0.000"
"USEP","02-May-2023","27","496.66","0.00","7135.638","-","0.000"
"USEP","02-May-2023","28","534.90","4500.00","7176.212","-","35.000"
"USEP","02-May-2023","29","1997.46","0.95","7212.881","-","45.600"
"USEP","02-May-2023","30","1511.30","4500.00","7206.510","-","45.600"
"USEP","02-May-2023","31","1511.23","4500.00","7217.623","-","45.600"
"USEP","02-May-2023","32","1511.11","4500.00","7214.233","-","45.600"
"USEP","02-May-2023","33","1997.23","4500.00","7241.562","-","36.600"
"USEP","02-May-2023","34","2496.66","0.00","7263.212","-","36.600"
"USEP","02-May-2023","35","2361.32","4500.00","7259.748","-","36.600"
"USEP","02-May-2023","36","1997.23","8.84","7210.003","-","36.600"
"USEP","02-May-2023","37","546.80","4500.00","7137.615","-","36.600"
"USEP","02-May-2023","38","1454.68","4500.00","7156.998","-","36.600"
"USEP","02-May-2023","39","1996.89","25.79","7173.031","-","36.600"
"USEP","02-May-2023","40","1511.32","4500.00","7163.543","-","36.600"
"USEP","02-May-2023","41","1511.49","0.00","7161.959","-","0.000"
"USEP","02-May-2023","42","905.20","0.00","7130.553","-","0.000"
"USEP","02-May-2023","43","461.52","0.00","7064.646","-","0.000"
"USEP","02-May-2023","44","373.98","0.00","6939.467","-","0.000"
"USEP","02-May-2023","45","312.62","0.00","6774.488","-","0.000"
"USEP","02-May-2023","46","300.17","0.00","6647.628","-","0.000"
"USEP","02-May-2023","47","302.53","0.00","6522.499","-","0.000"
"USEP","02-May-2023","48","249.54","0.00","6377.921","-","0.000"
"USEP","03-May-2023","1","383.96","0.00","6225.084","-","0.000"
"USEP","03-May-2023","2","304.82","0.00","6099.880","-","0.000"
"USEP","03-May-2023","3","271.82","0.00","6010.420","-","0.000"
"USEP","03-May-2023","4","251.51","0.00","5957.971","-","0.000"
"USEP","03-May-2023","5","230.80","0.00","5916.313","-","0.000"
"USEP","03-May-2023","6","207.08","0.00","5869.148","-","0.000"
"USEP","03-May-2023","7","201.52","0.00","5822.504","-","0.000"
"USEP","03-May-2023","8","195.74","0.00","5799.871","-","0.000"
"USEP","03-May-2023","9","195.62","0.00","5786.079","-","0.000"
"USEP","03-May-2023","10","201.50","0.00","5814.060","-","0.000"
"USEP","03-May-2023","11","201.50","0.00","5877.850","-","0.000"
"USEP","03-May-2023","12","251.47","0.00","6016.682","-","0.000"
"USEP","03-May-2023","13","201.63","0.00","6194.827","-","0.000"
"USEP","03-May-2023","14","281.43","0.00","6347.555","-","0.000"
"USEP","03-May-2023","15","312.29","0.00","6508.439","-","0.000"
"USEP","03-May-2023","16","373.89","0.00","6712.069","-","0.000"
"USEP","03-May-2023","17","363.23","0.00","6903.911","-","0.000"
"USEP","03-May-2023","18","380.40","0.00","7001.264","-","0.000"
"USEP","03-May-2023","19","414.26","0.00","7041.735","-","0.000"
"USEP","03-May-2023","20","424.96","0.00","7059.801","-","0.000"
"USEP","03-May-2023","21","435.47","0.00","7086.460","-","0.000"
"USEP","03-May-2023","22","435.48","0.00","7085.615","-","0.000"
"USEP","03-May-2023","23","435.50","0.00","7090.739","-","0.000"
"USEP","03-May-2023","24","414.33","0.00","7070.715","-","0.000"
"USEP","03-May-2023","25","414.33","0.00","7059.050","-","0.000"
"USEP","03-May-2023","26","435.53","0.00","7108.124","-","0.000"
"USEP","03-May-2023","27","496.74","4500.00","7149.070","-","35.000"
"USEP","03-May-2023","28","1997.34","23.73","7223.287","-","35.000"
"USEP","03-May-2023","29","1997.70","4500.00","7245.132","-","45.600"
"USEP","03-May-2023","30","1997.16","4500.00","7258.859","-","45.600"
"USEP","03-May-2023","31","2497.13","4500.00","7306.278","-","40.600"
"USEP","03-May-2023","32","2496.94","60.51","7310.034","-","36.600"
"USEP","03-May-2023","33","1997.51","4500.00","7231.896","-","36.600"
"USEP","03-May-2023","34","1997.39","1.17","7176.605","-","36.600"
"USEP","03-May-2023","35","1997.37","4500.00","7151.665","-","36.600"
"USEP","03-May-2023","36","1319.27","4500.00","7097.755","-","36.600"
"USEP","03-May-2023","37","456.98","4500.00","7038.165","-","35.000"
"USEP","03-May-2023","38","380.51","1979.43","7028.647","-","35.000"
"USEP","03-May-2023","39","414.13","0.00","7058.762","-","0.000"
"USEP","03-May-2023","40","414.15","0.00","7040.845","-","0.000"
"USEP","03-May-2023","41","384.12","0.00","7036.978","-","0.000"
"USEP","03-May-2023","42","377.78","0.00","7012.486","-","0.000"
"USEP","03-May-2023","43","333.28","0.00","6949.506","-","0.000"
"USEP","03-May-2023","44","302.63","0.00","6830.062","-","0.000"
"USEP","03-May-2023","45","281.73","0.00","6692.229","-","0.000"
"USEP","03-May-2023","46","250.18","0.00","6567.681","-","0.000"
"USEP","03-May-2023","47","249.77","0.00","6450.404","-","0.000"
"USEP","03-May-2023","48","195.68","0.00","6290.738","-","0.000"
"USEP","04-May-2023","1","218.22","0.00","6100.685","-","0.000"
"USEP","04-May-2023","2","198.02","0.00","5979.496","-","0.000"
"USEP","04-May-2023","3","177.78","0.00","5915.070","-","0.000"
"USEP","04-May-2023","4","159.14","0.00","5854.904","-","0.000"
"USEP","04-May-2023","5","159.13","0.00","5800.099","-","0.000"
"USEP","04-May-2023","6","152.96","0.00","5748.888","-","0.000"
"USEP","04-May-2023","7","147.65","0.00","5706.176","-","0.000"
"USEP","04-May-2023","8","147.55","0.00","5684.264","-","0.000"
"USEP","04-May-2023","9","147.47","0.00","5678.667","-","0.000"
"USEP","04-May-2023","10","152.90","0.00","5718.914","-","0.000"
"USEP","04-May-2023","11","153.06","0.00","5791.293","-","0.000"
"USEP","04-May-2023","12","198.16","0.00","5944.150","-","0.000"
"USEP","04-May-2023","13","181.11","0.00","6119.849","-","0.000"
"USEP","04-May-2023","14","201.65","0.00","6267.751","-","0.000"
"USEP","04-May-2023","15","252.53","0.00","6432.164","-","0.000"
"USEP","04-May-2023","16","298.65","0.00","6635.010","-","0.000"
