"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Sep-2023","1","123.09","0.00","5916.775","-","0.000"
"USEP","01-Sep-2023","2","122.93","0.00","5820.591","-","0.000"
"USEP","01-Sep-2023","3","122.80","0.00","5785.468","-","0.000"
"USEP","01-Sep-2023","4","122.81","0.00","5734.679","-","0.000"
"USEP","01-Sep-2023","5","122.77","0.00","5685.511","-","0.000"
"USEP","01-Sep-2023","6","118.73","0.00","5618.635","-","0.000"
"USEP","01-Sep-2023","7","118.62","0.00","5543.101","-","0.000"
"USEP","01-Sep-2023","8","101.34","0.00","5479.554","-","0.000"
"USEP","01-Sep-2023","9","101.34","0.00","5474.947","-","0.000"
"USEP","01-Sep-2023","10","118.61","0.00","5522.773","-","0.000"
"USEP","01-Sep-2023","11","118.72","0.00","5561.231","-","0.000"
"USEP","01-Sep-2023","12","113.11","0.00","5569.258","-","0.000"
"USEP","01-Sep-2023","13","113.11","0.00","5642.888","-","0.000"
"USEP","01-Sep-2023","14","112.07","0.00","5699.323","-","0.000"
"USEP","01-Sep-2023","15","112.07","0.00","5726.851","-","0.000"
"USEP","01-Sep-2023","16","118.74","0.00","5779.802","-","0.000"
"USEP","01-Sep-2023","17","118.75","0.00","5858.084","-","0.000"
"USEP","01-Sep-2023","18","118.79","0.00","5906.333","-","0.000"
"USEP","01-Sep-2023","19","118.66","0.00","5940.790","-","0.000"
"USEP","01-Sep-2023","20","118.73","0.00","5971.674","-","0.000"
"USEP","01-Sep-2023","21","107.16","0.00","5976.097","-","0.000"
"USEP","01-Sep-2023","22","107.14","0.00","5981.435","-","0.000"
"USEP","01-Sep-2023","23","111.37","0.00","6019.898","-","0.000"
"USEP","01-Sep-2023","24","112.22","0.00","6036.915","-","0.000"
"USEP","01-Sep-2023","25","99.03","0.00","5909.012","-","0.000"
"USEP","01-Sep-2023","26","98.25","0.00","5873.019","-","0.000"
"USEP","01-Sep-2023","27","99.02","0.00","5918.336","-","0.000"
"USEP","01-Sep-2023","28","105.95","0.00","5988.840","-","0.000"
"USEP","01-Sep-2023","29","100.88","0.00","5981.494","-","0.000"
"USEP","01-Sep-2023","30","99.03","0.00","5935.437","-","0.000"
"USEP","01-Sep-2023","31","100.72","0.00","5958.071","-","0.000"
