"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Dec-2024","1","125.97","0.00","6048.117","0.00","0.000"
"USEP","01-Dec-2024","2","125.38","0.00","5936.466","0.00","0.000"
"USEP","01-Dec-2024","3","124.24","0.00","5828.269","0.00","0.000"
"USEP","01-Dec-2024","4","123.72","0.00","5749.450","0.00","0.000"
"USEP","01-Dec-2024","5","123.49","0.00","5685.382","0.00","0.000"
"USEP","01-Dec-2024","6","123.26","0.00","5642.257","0.00","0.000"
"USEP","01-Dec-2024","7","120.32","0.00","5598.814","0.00","0.000"
"USEP","01-Dec-2024","8","113.59","0.00","5570.431","0.00","0.000"
"USEP","01-Dec-2024","9","113.06","0.00","5555.640","0.00","0.000"
"USEP","01-Dec-2024","10","113.06","0.00","5560.983","0.00","0.000"
"USEP","01-Dec-2024","11","113.59","0.00","5583.447","0.00","0.000"
"USEP","01-Dec-2024","12","120.69","0.00","5643.510","0.00","0.000"
"USEP","01-Dec-2024","13","123.52","0.00","5711.554","0.00","0.000"
"USEP","01-Dec-2024","14","123.72","0.00","5765.145","0.00","0.000"
"USEP","01-Dec-2024","15","123.75","0.00","5801.476","2.26","0.000"
"USEP","01-Dec-2024","16","124.22","0.00","5871.230","12.97","0.000"
"USEP","01-Dec-2024","17","123.77","0.00","5922.491","72.89","0.000"
"USEP","01-Dec-2024","18","123.76","0.00","5986.126","102.55","0.000"
"USEP","01-Dec-2024","19","123.57","0.00","5965.233","203.58","0.000"
"USEP","01-Dec-2024","20","120.32","0.00","5922.421","340.52","0.000"
"USEP","01-Dec-2024","21","112.65","0.00","5960.133","381.92","0.000"
"USEP","01-Dec-2024","22","112.58","0.00","5962.375","447.87","0.000"
"USEP","01-Dec-2024","23","110.63","0.00","5883.252","539.00","0.000"
"USEP","01-Dec-2024","24","91.20","0.00","5854.327","568.35","0.000"
"USEP","01-Dec-2024","25","90.65","0.00","5819.746","601.12","0.000"
"USEP","01-Dec-2024","26","90.47","0.00","5851.141","601.63","0.000"
"USEP","01-Dec-2024","27","85.86","0.00","5811.163","661.36","0.000"
"USEP","01-Dec-2024","28","88.72","0.00","5816.605","652.54","0.000"
"USEP","01-Dec-2024","29","88.72","0.00","5823.458","647.52","0.000"
"USEP","01-Dec-2024","30","83.59","0.00","5773.838","674.25","0.000"
"USEP","01-Dec-2024","31","86.30","0.00","5776.730","657.61","0.000"
"USEP","01-Dec-2024","32","90.88","0.00","5852.443","605.76","0.000"
"USEP","01-Dec-2024","33","112.14","0.00","6099.691","411.89","0.000"
"USEP","01-Dec-2024","34","120.22","0.00","6124.287","412.95","0.000"
"USEP","01-Dec-2024","35","120.66","0.00","6215.780","325.81","0.000"
"USEP","01-Dec-2024","36","123.61","0.00","6294.107","267.89","0.000"
"USEP","01-Dec-2024","37","126.12","0.00","6496.630","130.62","0.000"
