"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Feb-2024","1","122.91","0.00","5893.968","-","0.000"
"USEP","01-Feb-2024","2","118.32","0.00","5781.606","-","0.000"
"USEP","01-Feb-2024","3","96.27","0.00","5659.881","-","0.000"
"USEP","01-Feb-2024","4","84.11","0.00","5589.525","-","0.000"
"USEP","01-Feb-2024","5","83.79","0.00","5534.055","-","0.000"
"USEP","01-Feb-2024","6","74.49","0.00","5498.783","-","0.000"
"USEP","01-Feb-2024","7","69.95","0.00","5466.483","-","0.000"
"USEP","01-Feb-2024","8","67.62","0.00","5453.805","-","0.000"
"USEP","01-Feb-2024","9","69.95","0.00","5458.253","-","0.000"
"USEP","01-Feb-2024","10","75.51","0.00","5499.877","-","0.000"
"USEP","01-Feb-2024","11","100.20","0.00","5603.635","-","0.000"
"USEP","01-Feb-2024","12","121.87","0.00","5788.440","-","0.000"
"USEP","01-Feb-2024","13","123.77","0.00","5993.989","-","0.000"
"USEP","01-Feb-2024","14","141.36","0.00","6161.234","-","0.000"
"USEP","01-Feb-2024","15","125.19","0.00","6331.894","-","0.000"
"USEP","01-Feb-2024","16","144.38","0.00","6514.283","-","0.000"
"USEP","01-Feb-2024","17","144.40","0.00","6671.728","-","0.000"
"USEP","01-Feb-2024","18","144.41","0.00","6735.245","-","0.000"
"USEP","01-Feb-2024","19","136.65","0.00","6756.024","-","0.000"
"USEP","01-Feb-2024","20","144.40","0.00","6760.790","-","0.000"
"USEP","01-Feb-2024","21","139.92","0.00","6775.820","-","0.000"
"USEP","01-Feb-2024","22","125.83","0.00","6766.431","-","0.000"
"USEP","01-Feb-2024","23","125.33","0.00","6748.693","-","0.000"
"USEP","01-Feb-2024","24","123.92","0.00","6653.374","-","0.000"
"USEP","01-Feb-2024","25","119.55","0.00","6536.857","-","0.000"
"USEP","01-Feb-2024","26","105.69","0.00","6464.146","-","0.000"
"USEP","01-Feb-2024","27","115.57","0.00","6516.366","-","0.000"
"USEP","01-Feb-2024","28","124.02","0.00","6662.012","-","0.000"
"USEP","01-Feb-2024","29","134.17","0.00","6782.624","-","0.000"
"USEP","01-Feb-2024","30","145.81","0.00","6815.898","-","0.000"
"USEP","01-Feb-2024","31","146.79","0.00","6829.918","-","0.000"
"USEP","01-Feb-2024","32","146.81","0.00","6840.957","-","0.000"
"USEP","01-Feb-2024","33","145.80","0.00","6835.420","-","0.000"
"USEP","01-Feb-2024","34","145.82","0.00","6820.624","-","0.000"
"USEP","01-Feb-2024","35","152.76","0.00","6895.139","-","0.000"
"USEP","01-Feb-2024","36","155.05","0.00","6920.139","-","0.000"
"USEP","01-Feb-2024","37","183.40","0.00","6939.492","-","0.000"
"USEP","01-Feb-2024","38","191.11","0.00","6955.992","-","0.000"
"USEP","01-Feb-2024","39","225.49","0.00","6982.487","-","0.000"
"USEP","01-Feb-2024","40","220.95","0.00","6945.963","-","0.000"
"USEP","01-Feb-2024","41","191.07","0.00","6885.915","-","0.000"
"USEP","01-Feb-2024","42","166.96","0.00","6833.000","-","0.000"
"USEP","01-Feb-2024","43","152.70","0.00","6739.693","-","0.000"
"USEP","01-Feb-2024","44","144.26","0.00","6590.523","-","0.000"
"USEP","01-Feb-2024","45","143.00","0.00","6437.194","-","0.000"
"USEP","01-Feb-2024","46","130.43","0.00","6312.218","-","0.000"
"USEP","01-Feb-2024","47","125.00","0.00","6118.478","-","0.000"
"USEP","01-Feb-2024","48","124.95","0.00","5989.760","-","0.000"
"USEP","02-Feb-2024","1","124.94","0.00","5910.543","-","0.000"
"USEP","02-Feb-2024","2","121.90","0.00","5849.963","-","0.000"
"USEP","02-Feb-2024","3","110.67","0.00","5685.089","-","0.000"
"USEP","02-Feb-2024","4","96.55","0.00","5602.109","-","0.000"
"USEP","02-Feb-2024","5","96.54","0.00","5539.020","-","0.000"
"USEP","02-Feb-2024","6","91.51","0.00","5494.096","-","0.000"
"USEP","02-Feb-2024","7","84.09","0.00","5464.366","-","0.000"
"USEP","02-Feb-2024","8","78.00","0.00","5450.887","-","0.000"
"USEP","02-Feb-2024","9","84.00","0.00","5451.538","-","0.000"
"USEP","02-Feb-2024","10","91.63","0.00","5498.435","-","0.000"
"USEP","02-Feb-2024","11","101.12","0.00","5600.872","-","0.000"
"USEP","02-Feb-2024","12","120.91","0.00","5781.213","-","0.000"
"USEP","02-Feb-2024","13","121.91","0.00","5982.449","-","0.000"
"USEP","02-Feb-2024","14","130.26","0.00","6150.604","-","0.000"
"USEP","02-Feb-2024","15","130.19","0.00","6331.263","-","0.000"
"USEP","02-Feb-2024","16","141.80","0.00","6517.936","-","0.000"
"USEP","02-Feb-2024","17","130.34","0.00","6657.777","-","0.000"
"USEP","02-Feb-2024","18","130.34","0.00","6714.485","-","0.000"
"USEP","02-Feb-2024","19","130.32","0.00","6735.816","-","0.000"
"USEP","02-Feb-2024","20","127.25","0.00","6733.798","-","0.000"
"USEP","02-Feb-2024","21","127.34","0.00","6730.056","-","0.000"
"USEP","02-Feb-2024","22","125.10","0.00","6687.955","-","0.000"
"USEP","02-Feb-2024","23","116.78","0.00","6607.719","-","0.000"
"USEP","02-Feb-2024","24","111.72","0.00","6544.655","-","0.000"
"USEP","02-Feb-2024","25","113.72","0.00","6549.088","-","0.000"
"USEP","02-Feb-2024","26","114.71","0.00","6573.655","-","0.000"
"USEP","02-Feb-2024","27","113.73","0.00","6551.936","-","0.000"
"USEP","02-Feb-2024","28","125.13","0.00","6655.018","-","0.000"
"USEP","02-Feb-2024","29","130.49","0.00","6778.180","-","0.000"
"USEP","02-Feb-2024","30","148.76","0.00","6858.605","-","0.000"
"USEP","02-Feb-2024","31","153.19","0.00","6912.788","-","0.000"
"USEP","02-Feb-2024","32","193.14","0.00","6975.688","-","0.000"
"USEP","02-Feb-2024","33","365.00","0.00","7037.306","-","0.000"
"USEP","02-Feb-2024","34","404.89","0.00","7067.111","-","0.000"
"USEP","02-Feb-2024","35","404.91","0.00","7093.556","-","0.000"
"USEP","02-Feb-2024","36","366.17","0.00","7057.439","-","0.000"
"USEP","02-Feb-2024","37","211.22","0.00","6995.126","-","0.000"
"USEP","02-Feb-2024","38","211.16","0.00","6974.739","-","0.000"
"USEP","02-Feb-2024","39","201.23","0.00","6959.655","-","0.000"
"USEP","02-Feb-2024","40","191.05","0.00","6909.999","-","0.000"
"USEP","02-Feb-2024","41","190.98","0.00","6873.912","-","0.000"
"USEP","02-Feb-2024","42","151.63","0.00","6817.706","-","0.000"
"USEP","02-Feb-2024","43","150.97","0.00","6735.493","-","0.000"
"USEP","02-Feb-2024","44","130.49","0.00","6593.097","-","0.000"
"USEP","02-Feb-2024","45","130.44","0.00","6429.684","-","0.000"
"USEP","02-Feb-2024","46","132.87","0.00","6284.843","-","0.000"
"USEP","02-Feb-2024","47","127.13","0.00","6159.405","-","0.000"
"USEP","02-Feb-2024","48","148.21","0.00","6037.203","-","0.000"
"USEP","03-Feb-2024","1","122.89","0.00","5865.340","-","0.000"
"USEP","03-Feb-2024","2","121.86","0.00","5710.435","-","0.000"
"USEP","03-Feb-2024","3","118.56","0.00","5624.807","-","0.000"
"USEP","03-Feb-2024","4","122.85","0.00","5624.300","-","0.000"
"USEP","03-Feb-2024","5","122.83","0.00","5559.720","-","0.000"
"USEP","03-Feb-2024","6","122.83","0.00","5507.500","-","0.000"
"USEP","03-Feb-2024","7","121.81","0.00","5469.107","-","0.000"
"USEP","03-Feb-2024","8","121.80","0.00","5435.281","-","0.000"
"USEP","03-Feb-2024","9","121.82","0.00","5427.175","-","0.000"
"USEP","03-Feb-2024","10","113.19","0.00","5357.853","-","0.000"
"USEP","03-Feb-2024","11","110.08","0.00","5408.866","-","0.000"
"USEP","03-Feb-2024","12","120.98","0.00","5496.129","-","0.000"
"USEP","03-Feb-2024","13","121.84","0.00","5596.448","-","0.000"
"USEP","03-Feb-2024","14","122.87","0.00","5688.860","-","0.000"
"USEP","03-Feb-2024","15","133.57","0.00","5800.516","-","0.000"
"USEP","03-Feb-2024","16","133.68","0.00","5941.560","-","0.000"
"USEP","03-Feb-2024","17","133.69","0.00","6071.083","-","0.000"
"USEP","03-Feb-2024","18","129.10","0.00","6119.044","-","0.000"
"USEP","03-Feb-2024","19","123.78","0.00","6124.849","-","0.000"
"USEP","03-Feb-2024","20","123.78","0.00","6136.369","-","0.000"
"USEP","03-Feb-2024","21","123.80","0.00","6165.116","-","0.000"
"USEP","03-Feb-2024","22","123.80","0.00","6183.286","-","0.000"
"USEP","03-Feb-2024","23","121.91","0.00","6156.095","-","0.000"
"USEP","03-Feb-2024","24","100.93","0.00","6072.361","-","0.000"
"USEP","03-Feb-2024","25","93.63","0.00","5985.520","-","0.000"
"USEP","03-Feb-2024","26","92.89","0.00","5950.417","-","0.000"
"USEP","03-Feb-2024","27","93.61","0.00","5964.134","-","0.000"
"USEP","03-Feb-2024","28","99.24","0.00","5999.694","-","0.000"
"USEP","03-Feb-2024","29","105.26","0.00","6022.178","-","0.000"
"USEP","03-Feb-2024","30","121.90","0.00","6115.555","-","0.000"
"USEP","03-Feb-2024","31","122.91","0.00","6149.674","-","0.000"
"USEP","03-Feb-2024","32","125.00","0.00","6211.471","-","0.000"
"USEP","03-Feb-2024","33","133.62","0.00","6267.224","-","0.000"
