"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Jun-2024","1","145.49","0.00","6364.880","0.00","0.000"
"USEP","01-Jun-2024","2","155.02","0.00","6319.146","0.00","0.000"
"USEP","01-Jun-2024","3","187.87","0.00","6215.730","0.00","0.000"
"USEP","01-Jun-2024","4","161.90","0.00","6130.912","0.00","0.000"
"USEP","01-Jun-2024","5","158.91","0.00","6060.940","0.00","0.000"
"USEP","01-Jun-2024","6","158.48","0.00","6001.409","0.00","0.000"
"USEP","01-Jun-2024","7","158.38","0.00","5957.996","0.00","0.000"
"USEP","01-Jun-2024","8","145.88","0.00","5936.506","0.00","0.000"
"USEP","01-Jun-2024","9","145.90","0.00","5922.098","0.00","0.000"
"USEP","01-Jun-2024","10","143.88","0.00","5909.628","0.00","0.000"
"USEP","01-Jun-2024","11","143.87","0.00","5921.730","0.00","0.000"
"USEP","01-Jun-2024","12","143.83","0.00","5954.030","0.00","0.000"
"USEP","01-Jun-2024","13","158.34","0.00","6008.422","0.00","0.000"
"USEP","01-Jun-2024","14","158.55","0.00","6094.463","0.00","0.000"
"USEP","01-Jun-2024","15","177.17","0.00","6183.450","3.09","0.000"
"USEP","01-Jun-2024","16","192.78","0.00","6310.513","10.36","0.000"
"USEP","01-Jun-2024","17","192.81","0.00","6440.916","50.75","0.000"
"USEP","01-Jun-2024","18","203.24","0.00","6502.678","117.96","0.000"
"USEP","01-Jun-2024","19","192.97","0.00","6553.661","196.50","0.000"
"USEP","01-Jun-2024","20","195.95","0.00","6578.650","280.90","0.000"
"USEP","01-Jun-2024","21","176.89","0.00","6557.155","360.44","0.000"
"USEP","01-Jun-2024","22","145.80","0.00","6480.587","430.63","0.000"
"USEP","01-Jun-2024","23","139.67","0.00","6403.815","490.51","0.000"
"USEP","01-Jun-2024","24","130.75","0.00","6290.579","536.80","0.000"
"USEP","01-Jun-2024","25","107.26","0.00","6199.503","562.43","0.000"
"USEP","01-Jun-2024","26","106.63","0.00","6155.912","575.24","0.000"
"USEP","01-Jun-2024","27","113.21","0.00","6173.217","579.45","0.000"
"USEP","01-Jun-2024","28","114.10","0.00","6200.612","568.51","0.000"
"USEP","01-Jun-2024","29","109.82","0.00","6155.534","543.79","0.000"
"USEP","01-Jun-2024","30","106.51","0.00","6084.075","508.56","0.000"
"USEP","01-Jun-2024","31","105.71","0.00","6061.556","466.54","0.000"
"USEP","01-Jun-2024","32","107.74","0.00","6085.994","425.72","0.000"
"USEP","01-Jun-2024","33","123.96","0.00","6144.287","375.61","0.000"
"USEP","01-Jun-2024","34","132.93","0.00","6220.005","313.14","0.000"
"USEP","01-Jun-2024","35","139.26","0.00","6318.351","245.93","0.000"
"USEP","01-Jun-2024","36","145.82","0.00","6395.217","169.83","0.000"
"USEP","01-Jun-2024","37","177.19","0.00","6483.489","103.70","0.000"
"USEP","01-Jun-2024","38","195.91","0.00","6592.680","45.34","0.000"
"USEP","01-Jun-2024","39","207.16","0.00","6668.706","4.09","0.000"
"USEP","01-Jun-2024","40","208.07","0.00","6706.588","0.00","0.000"
"USEP","01-Jun-2024","41","208.27","0.00","6727.268","0.00","0.000"
"USEP","01-Jun-2024","42","208.38","0.00","6730.086","0.00","0.000"
"USEP","01-Jun-2024","43","207.12","0.00","6690.773","0.00","0.000"
"USEP","01-Jun-2024","44","192.97","0.00","6605.080","0.00","0.000"
"USEP","01-Jun-2024","45","172.02","0.00","6500.099","0.00","0.000"
"USEP","01-Jun-2024","46","149.70","0.00","6404.089","0.00","0.000"
"USEP","01-Jun-2024","47","145.80","0.00","6302.919","0.00","0.000"
"USEP","01-Jun-2024","48","143.76","0.00","6175.861","0.00","0.000"
"USEP","02-Jun-2024","1","119.51","0.00","6050.562","0.00","0.000"
"USEP","02-Jun-2024","2","119.51","0.00","5939.389","0.00","0.000"
"USEP","02-Jun-2024","3","111.01","0.00","5868.248","0.00","0.000"
"USEP","02-Jun-2024","4","106.61","0.00","5788.007","0.00","0.000"
"USEP","02-Jun-2024","5","106.06","0.00","5736.682","0.00","0.000"
"USEP","02-Jun-2024","6","105.72","0.00","5683.816","0.00","0.000"
"USEP","02-Jun-2024","7","104.86","0.00","5640.900","0.00","0.000"
"USEP","02-Jun-2024","8","105.25","0.00","5616.448","0.00","0.000"
"USEP","02-Jun-2024","9","104.10","0.00","5602.994","0.00","0.000"
"USEP","02-Jun-2024","10","105.25","0.00","5613.690","0.00","0.000"
"USEP","02-Jun-2024","11","105.44","0.00","5645.453","0.00","0.000"
"USEP","02-Jun-2024","12","105.97","0.00","5702.961","0.00","0.000"
"USEP","02-Jun-2024","13","106.59","0.00","5774.872","0.00","0.000"
"USEP","02-Jun-2024","14","114.08","0.00","5855.033","0.00","0.000"
"USEP","02-Jun-2024","15","139.09","0.00","5902.521","4.55","0.000"
"USEP","02-Jun-2024","16","139.20","0.00","5962.310","11.37","0.000"
"USEP","02-Jun-2024","17","139.12","0.00","6027.899","54.36","0.000"
"USEP","02-Jun-2024","18","139.04","0.00","6042.904","119.18","0.000"
"USEP","02-Jun-2024","19","130.58","0.00","6051.129","185.71","0.000"
"USEP","02-Jun-2024","20","126.96","0.00","6082.107","253.40","0.000"
"USEP","02-Jun-2024","21","119.01","0.00","6103.915","313.41","0.000"
"USEP","02-Jun-2024","22","115.80","0.00","6086.600","369.27","0.000"
"USEP","02-Jun-2024","23","99.62","0.00","6013.397","433.42","0.000"
"USEP","02-Jun-2024","24","97.52","0.00","5931.496","495.13","0.000"
"USEP","02-Jun-2024","25","96.51","0.00","5881.920","530.01","0.000"
"USEP","02-Jun-2024","26","96.11","0.00","5894.331","549.16","0.000"
"USEP","02-Jun-2024","27","96.53","0.00","5922.093","554.52","0.000"
"USEP","02-Jun-2024","28","96.15","0.00","5963.160","543.16","0.000"
"USEP","02-Jun-2024","29","96.14","0.00","6021.413","489.99","0.000"
"USEP","02-Jun-2024","30","96.14","0.00","6074.667","457.91","0.000"
"USEP","02-Jun-2024","31","97.55","0.00","6106.917","419.53","0.000"
"USEP","02-Jun-2024","32","97.07","0.00","6146.831","377.87","0.000"
"USEP","02-Jun-2024","33","100.23","0.00","6175.200","331.75","0.000"
"USEP","02-Jun-2024","34","111.55","0.00","6238.786","280.84","0.000"
"USEP","02-Jun-2024","35","112.55","0.00","6289.709","226.09","0.000"
"USEP","02-Jun-2024","36","126.48","0.00","6339.851","161.95","0.000"
"USEP","02-Jun-2024","37","139.21","0.00","6412.448","102.83","0.000"
"USEP","02-Jun-2024","38","139.31","0.00","6519.716","45.78","0.000"
"USEP","02-Jun-2024","39","144.61","0.00","6627.306","4.58","0.000"
"USEP","02-Jun-2024","40","151.63","0.00","6711.011","0.00","0.000"
"USEP","02-Jun-2024","41","155.62","0.00","6740.115","0.00","0.000"
"USEP","02-Jun-2024","42","151.63","0.00","6733.773","0.00","0.000"
"USEP","02-Jun-2024","43","143.57","0.00","6697.681","0.00","0.000"
"USEP","02-Jun-2024","44","141.78","0.00","6597.586","0.00","0.000"
"USEP","02-Jun-2024","45","139.33","0.00","6472.292","0.00","0.000"
"USEP","02-Jun-2024","46","128.99","0.00","6344.682","0.00","0.000"
"USEP","02-Jun-2024","47","110.56","0.00","6224.791","0.00","0.000"
"USEP","02-Jun-2024","48","124.87","0.00","6235.263","0.00","0.000"
"USEP","03-Jun-2024","1","141.81","0.00","6234.209","0.00","0.000"
"USEP","03-Jun-2024","2","113.97","0.00","6104.129","0.00","0.000"
"USEP","03-Jun-2024","3","104.46","0.00","5851.087","0.00","0.000"
"USEP","03-Jun-2024","4","100.42","0.00","5782.411","0.00","0.000"
"USEP","03-Jun-2024","5","97.74","0.00","5722.329","0.00","0.000"
"USEP","03-Jun-2024","6","95.37","0.00","5679.477","0.00","0.000"
"USEP","03-Jun-2024","7","92.82","0.00","5645.120","0.00","0.000"
"USEP","03-Jun-2024","8","86.32","0.00","5627.596","0.00","0.000"
"USEP","03-Jun-2024","9","86.31","0.00","5619.445","0.00","0.000"
"USEP","03-Jun-2024","10","89.63","0.00","5650.015","0.00","0.000"
"USEP","03-Jun-2024","11","91.11","0.00","5721.146","0.00","0.000"
"USEP","03-Jun-2024","12","91.62","0.00","5845.724","0.00","0.000"
"USEP","03-Jun-2024","13","104.83","0.00","6019.584","0.00","0.000"
"USEP","03-Jun-2024","14","109.01","0.00","6236.764","0.00","0.000"
"USEP","03-Jun-2024","15","109.86","0.00","6468.206","2.13","0.000"
"USEP","03-Jun-2024","16","142.18","0.00","6720.787","9.96","0.000"
"USEP","03-Jun-2024","17","193.11","0.00","6951.241","47.90","0.000"
"USEP","03-Jun-2024","18","250.59","0.00","7051.004","107.79","0.000"
"USEP","03-Jun-2024","19","254.59","0.00","7079.989","172.90","0.000"
"USEP","03-Jun-2024","20","256.22","0.00","7085.635","241.47","0.000"
"USEP","03-Jun-2024","21","233.56","0.00","7070.039","304.82","0.000"
